Time,Y_1,Y_2,X_1,X_2,U_1,U_2
11280.0,0.51286775,0.5491038,0.51286775,0.5491038,0.39959884,0.077654175
11281.0,0.51369566,0.5505832,0.51369566,0.5505832,0.39959884,0.077654175
11282.0,0.51450086,0.5520457,0.51450086,0.5520457,0.39959884,0.077654175
11283.0,0.5152838,0.5534912,0.5152838,0.5534912,0.39959884,0.077654175
11284.0,0.51604533,0.55491954,0.51604533,0.55491954,0.39959884,0.077654175
11285.0,0.5167859,0.55633074,0.5167859,0.55633074,0.39959884,0.077654175
11286.0,0.5175062,0.5577246,0.5175062,0.5577246,0.39959884,0.077654175
11287.0,0.5182067,0.55910116,0.5182067,0.55910116,0.39959884,0.077654175
11288.0,0.51888806,0.56046027,0.51888806,0.56046027,0.39959884,0.077654175
11289.0,0.51955074,0.561802,0.51955074,0.561802,0.39959884,0.077654175
11290.0,0.52019525,0.5631263,0.52019525,0.5631263,0.39959884,0.077654175
11291.0,0.52082217,0.56443316,0.52082217,0.56443316,0.39959884,0.077654175
11292.0,0.521432,0.5657226,0.521432,0.5657226,0.39959884,0.077654175
11293.0,0.52202505,0.5669946,0.52202505,0.5669946,0.39959884,0.077654175
11294.0,0.522602,0.5682493,0.522602,0.5682493,0.39959884,0.077654175
11295.0,0.5231632,0.5694866,0.5231632,0.5694866,0.39959884,0.077654175
11296.0,0.52370906,0.5707067,0.52370906,0.5707067,0.39959884,0.077654175
11297.0,0.5242401,0.5719096,0.5242401,0.5719096,0.39959884,0.077654175
11298.0,0.5247566,0.57309544,0.5247566,0.57309544,0.39959884,0.077654175
11299.0,0.525259,0.57426417,0.525259,0.57426417,0.39959884,0.077654175
11300.0,0.52574784,0.57541597,0.52574784,0.57541597,0.26048478,0.18911603
11301.0,0.5138083,0.5778192,0.5138083,0.5778192,0.26048478,0.18911603
11302.0,0.5021973,0.5798359,0.5021973,0.5798359,0.26048478,0.18911603
11303.0,0.4909095,0.58148134,0.4909095,0.58148134,0.26048478,0.18911603
11304.0,0.47993925,0.5827707,0.47993925,0.5827707,0.26048478,0.18911603
11305.0,0.4692812,0.58371866,0.4692812,0.58371866,0.26048478,0.18911603
11306.0,0.4589298,0.58433944,0.4589298,0.58433944,0.26048478,0.18911603
11307.0,0.44887954,0.58464694,0.44887954,0.58464694,0.26048478,0.18911603
11308.0,0.43912485,0.5846548,0.43912485,0.5846548,0.26048478,0.18911603
11309.0,0.42966014,0.5843762,0.42966014,0.5843762,0.26048478,0.18911603
11310.0,0.42047986,0.58382416,0.42047986,0.58382416,0.26048478,0.18911603
11311.0,0.41157842,0.5830111,0.41157842,0.5830111,0.26048478,0.18911603
11312.0,0.40295017,0.5819495,0.40295017,0.5819495,0.26048478,0.18911603
11313.0,0.39458954,0.58065116,0.39458954,0.58065116,0.26048478,0.18911603
11314.0,0.38649088,0.5791279,0.38649088,0.5791279,0.26048478,0.18911603
11315.0,0.3786486,0.57739115,0.3786486,0.57739115,0.26048478,0.18911603
11316.0,0.37105715,0.575452,0.37105715,0.575452,0.26048478,0.18911603
11317.0,0.36371085,0.57332134,0.36371085,0.57332134,0.26048478,0.18911603
11318.0,0.35660422,0.57100976,0.35660422,0.57100976,0.26048478,0.18911603
11319.0,0.3497316,0.5685276,0.3497316,0.5685276,0.26048478,0.18911603
11320.0,0.34308755,0.5658848,0.34308755,0.5658848,0.26048478,0.18911603
11321.0,0.3366665,0.5630914,0.3366665,0.5630914,0.26048478,0.18911603
11322.0,0.33046302,0.5601567,0.33046302,0.5601567,0.26048478,0.18911603
11323.0,0.32447165,0.55709016,0.32447165,0.55709016,0.26048478,0.18911603
11324.0,0.31868696,0.5539007,0.31868696,0.5539007,0.26048478,0.18911603
11325.0,0.31310365,0.55059725,0.31310365,0.55059725,0.26048478,0.18911603
11326.0,0.30771634,0.54718816,0.30771634,0.54718816,0.26048478,0.18911603
11327.0,0.3025198,0.54368186,0.3025198,0.54368186,0.26048478,0.18911603
11328.0,0.29750884,0.5400863,0.29750884,0.5400863,0.26048478,0.18911603
11329.0,0.29267827,0.5364094,0.29267827,0.5364094,0.26048478,0.18911603
11330.0,0.28802302,0.5326585,0.28802302,0.5326585,0.26048478,0.18911603
11331.0,0.28353807,0.5288411,0.28353807,0.5288411,0.26048478,0.18911603
11332.0,0.2792184,0.52496415,0.2792184,0.52496415,0.26048478,0.18911603
11333.0,0.27505922,0.5210346,0.27505922,0.5210346,0.26048478,0.18911603
11334.0,0.2710556,0.5170589,0.2710556,0.5170589,0.26048478,0.18911603
11335.0,0.2672029,0.5130435,0.2672029,0.5130435,0.26048478,0.18911603
11336.0,0.2634964,0.5089945,0.2634964,0.5089945,0.26048478,0.18911603
11337.0,0.25993153,0.5049178,0.25993153,0.5049178,0.26048478,0.18911603
11338.0,0.25650382,0.50081897,0.25650382,0.50081897,0.26048478,0.18911603
11339.0,0.2532088,0.49670357,0.2532088,0.49670357,0.26048478,0.18911603
11340.0,0.25004217,0.49257672,0.25004217,0.49257672,0.26048478,0.18911603
11341.0,0.24699968,0.4884434,0.24699968,0.4884434,0.26048478,0.18911603
11342.0,0.2440772,0.48430842,0.2440772,0.48430842,0.26048478,0.18911603
11343.0,0.24127068,0.4801763,0.24127068,0.4801763,0.26048478,0.18911603
11344.0,0.23857613,0.4760514,0.23857613,0.4760514,0.26048478,0.18911603
11345.0,0.23598966,0.47193778,0.23598966,0.47193778,0.26048478,0.18911603
11346.0,0.23350753,0.4678394,0.23350753,0.4678394,0.26048478,0.18911603
11347.0,0.23112603,0.46375993,0.23112603,0.46375993,0.26048478,0.18911603
11348.0,0.22884156,0.45970294,0.22884156,0.45970294,0.26048478,0.18911603
11349.0,0.22665064,0.4556717,0.22665064,0.4556717,0.26048478,0.18911603
11350.0,0.22454984,0.45166934,0.22454984,0.45166934,0.26048478,0.18911603
11351.0,0.22253588,0.4476988,0.22253588,0.4476988,0.26048478,0.18911603
11352.0,0.2206055,0.44376284,0.2206055,0.44376284,0.26048478,0.18911603
11353.0,0.21875559,0.43986404,0.21875559,0.43986404,0.26048478,0.18911603
11354.0,0.21698312,0.43600476,0.21698312,0.43600476,0.26048478,0.18911603
11355.0,0.21528514,0.43218726,0.21528514,0.43218726,0.26048478,0.18911603
11356.0,0.2136588,0.42841363,0.2136588,0.42841363,0.26048478,0.18911603
11357.0,0.21210131,0.42468572,0.21210131,0.42468572,0.26048478,0.18911603
11358.0,0.21061002,0.4210053,0.21061002,0.4210053,0.26048478,0.18911603
11359.0,0.2091823,0.417374,0.2091823,0.417374,0.26048478,0.18911603
11360.0,0.2078157,0.41379324,0.2078157,0.41379324,0.26048478,0.18911603
11361.0,0.20650774,0.41026434,0.20650774,0.41026434,0.26048478,0.18911603
11362.0,0.2052561,0.4067885,0.2052561,0.4067885,0.26048478,0.18911603
11363.0,0.20405851,0.40336674,0.20405851,0.40336674,0.26048478,0.18911603
11364.0,0.2029128,0.40000004,0.2029128,0.40000004,0.26048478,0.18911603
11365.0,0.20181683,0.39668912,0.20181683,0.39668912,0.26048478,0.18911603
11366.0,0.20076858,0.39343473,0.20076858,0.39343473,0.26048478,0.18911603
11367.0,0.19976608,0.39023745,0.19976608,0.39023745,0.26048478,0.18911603
11368.0,0.19880746,0.38709775,0.19880746,0.38709775,0.26048478,0.18911603
11369.0,0.1978909,0.38401598,0.1978909,0.38401598,0.26048478,0.18911603
11370.0,0.19701461,0.38099244,0.19701461,0.38099244,0.26048478,0.18911603
11371.0,0.19617695,0.37802732,0.19617695,0.37802732,0.26048478,0.18911603
11372.0,0.19537626,0.37512073,0.19537626,0.37512073,0.26048478,0.18911603
11373.0,0.194611,0.37227264,0.194611,0.37227264,0.26048478,0.18911603
11374.0,0.19387965,0.36948305,0.19387965,0.36948305,0.26048478,0.18911603
11375.0,0.19318078,0.3667518,0.19318078,0.3667518,0.26048478,0.18911603
11376.0,0.192513,0.3640787,0.192513,0.3640787,0.26048478,0.18911603
11377.0,0.19187498,0.3614635,0.19187498,0.3614635,0.26048478,0.18911603
11378.0,0.19126542,0.35890585,0.19126542,0.35890585,0.26048478,0.18911603
11379.0,0.19068313,0.35640538,0.19068313,0.35640538,0.26048478,0.18911603
11380.0,0.19012688,0.35396165,0.19012688,0.35396165,0.26048478,0.18911603
11381.0,0.1895956,0.35157418,0.1895956,0.35157418,0.26048478,0.18911603
11382.0,0.18908815,0.34924248,0.18908815,0.34924248,0.26048478,0.18911603
11383.0,0.1886035,0.3469659,0.1886035,0.3469659,0.26048478,0.18911603
11384.0,0.18814069,0.3447439,0.18814069,0.3447439,0.26048478,0.18911603
11385.0,0.18769872,0.34257582,0.18769872,0.34257582,0.26048478,0.18911603
11386.0,0.18727669,0.34046096,0.18727669,0.34046096,0.26048478,0.18911603
11387.0,0.18687372,0.33839864,0.18687372,0.33839864,0.26048478,0.18911603
11388.0,0.18648897,0.33638808,0.18648897,0.33638808,0.26048478,0.18911603
11389.0,0.18612163,0.33442858,0.18612163,0.33442858,0.26048478,0.18911603
11390.0,0.18577093,0.33251935,0.18577093,0.33251935,0.26048478,0.18911603
11391.0,0.18543613,0.33065954,0.18543613,0.33065954,0.26048478,0.18911603
11392.0,0.18511653,0.3288484,0.18511653,0.3288484,0.26048478,0.18911603
11393.0,0.18481144,0.32708505,0.18481144,0.32708505,0.26048478,0.18911603
11394.0,0.18452023,0.3253687,0.18452023,0.3253687,0.26048478,0.18911603
11395.0,0.18424226,0.32369843,0.18424226,0.32369843,0.26048478,0.18911603
11396.0,0.18397695,0.32207346,0.18397695,0.32207346,0.26048478,0.18911603
11397.0,0.18372372,0.32049286,0.18372372,0.32049286,0.26048478,0.18911603
11398.0,0.18348204,0.3189558,0.18348204,0.3189558,0.26048478,0.18911603
11399.0,0.18325138,0.31746137,0.18325138,0.31746137,0.26048478,0.18911603
11400.0,0.18303125,0.31600872,0.18303125,0.31600872,0.21663646,0.24071231
11401.0,0.17916885,0.31473836,0.17916885,0.31473836,0.21663646,0.24071231
11402.0,0.1754847,0.31333742,0.1754847,0.31333742,0.21663646,0.24071231
11403.0,0.1719723,0.31181696,0.1719723,0.31181696,0.21663646,0.24071231
11404.0,0.16862527,0.31018758,0.16862527,0.31018758,0.21663646,0.24071231
11405.0,0.16543734,0.30845943,0.16543734,0.30845943,0.21663646,0.24071231
11406.0,0.16240236,0.30664217,0.16240236,0.30664217,0.21663646,0.24071231
11407.0,0.15951431,0.30474508,0.15951431,0.30474508,0.21663646,0.24071231
11408.0,0.15676732,0.302777,0.15676732,0.302777,0.21663646,0.24071231
11409.0,0.15415564,0.3007463,0.15415564,0.3007463,0.21663646,0.24071231
11410.0,0.15167366,0.29866096,0.15167366,0.29866096,0.21663646,0.24071231
11411.0,0.14931591,0.2965286,0.14931591,0.2965286,0.21663646,0.24071231
11412.0,0.14707708,0.2943564,0.14707708,0.2943564,0.21663646,0.24071231
11413.0,0.14495201,0.29215115,0.14495201,0.29215115,0.21663646,0.24071231
11414.0,0.14293568,0.28991926,0.14293568,0.28991926,0.21663646,0.24071231
11415.0,0.14102325,0.2876668,0.14102325,0.2876668,0.21663646,0.24071231
11416.0,0.13921,0.2853994,0.13921,0.2853994,0.21663646,0.24071231
11417.0,0.13749138,0.2831225,0.13749138,0.2831225,0.21663646,0.24071231
11418.0,0.13586299,0.28084102,0.13586299,0.28084102,0.21663646,0.24071231
11419.0,0.13432062,0.27855965,0.13432062,0.27855965,0.21663646,0.24071231
11420.0,0.13286014,0.27628276,0.13286014,0.27628276,0.21663646,0.24071231
11421.0,0.13147764,0.27401438,0.13147764,0.27401438,0.21663646,0.24071231
11422.0,0.13016933,0.27175826,0.13016933,0.27175826,0.21663646,0.24071231
11423.0,0.12893157,0.26951787,0.12893157,0.26951787,0.21663646,0.24071231
11424.0,0.12776086,0.26729637,0.12776086,0.26729637,0.21663646,0.24071231
11425.0,0.12665385,0.26509666,0.12665385,0.26509666,0.21663646,0.24071231
11426.0,0.12560734,0.26292148,0.12560734,0.26292148,0.21663646,0.24071231
11427.0,0.124618255,0.26077318,0.124618255,0.26077318,0.21663646,0.24071231
11428.0,0.12368364,0.25865397,0.12368364,0.25865397,0.21663646,0.24071231
11429.0,0.1228007,0.25656584,0.1228007,0.25656584,0.21663646,0.24071231
11430.0,0.121966735,0.25451055,0.121966735,0.25451055,0.21663646,0.24071231
11431.0,0.121179186,0.25248963,0.121179186,0.25248963,0.21663646,0.24071231
11432.0,0.1204356,0.25050446,0.1204356,0.25050446,0.21663646,0.24071231
11433.0,0.11973367,0.24855624,0.11973367,0.24855624,0.21663646,0.24071231
11434.0,0.11907115,0.24664602,0.11907115,0.24664602,0.21663646,0.24071231
11435.0,0.11844593,0.24477462,0.11844593,0.24477462,0.21663646,0.24071231
11436.0,0.11785602,0.24294278,0.11785602,0.24294278,0.21663646,0.24071231
11437.0,0.11729948,0.24115106,0.11729948,0.24115106,0.21663646,0.24071231
11438.0,0.11677452,0.23939994,0.11677452,0.23939994,0.21663646,0.24071231
11439.0,0.1162794,0.2376897,0.1162794,0.2376897,0.21663646,0.24071231
11440.0,0.11581248,0.2360206,0.11581248,0.2360206,0.21663646,0.24071231
11441.0,0.11537221,0.23439269,0.11537221,0.23439269,0.21663646,0.24071231
11442.0,0.11495712,0.232806,0.11495712,0.232806,0.21663646,0.24071231
11443.0,0.114565805,0.23126045,0.114565805,0.23126045,0.21663646,0.24071231
11444.0,0.114196934,0.22975588,0.114196934,0.22975588,0.21663646,0.24071231
11445.0,0.11384927,0.22829203,0.11384927,0.22829203,0.21663646,0.24071231
11446.0,0.113521606,0.22686861,0.113521606,0.22686861,0.21663646,0.24071231
11447.0,0.11321283,0.22548522,0.11321283,0.22548522,0.21663646,0.24071231
11448.0,0.11292188,0.22414145,0.11292188,0.22414145,0.21663646,0.24071231
11449.0,0.11264773,0.2228368,0.11264773,0.2228368,0.21663646,0.24071231
11450.0,0.112389445,0.22157075,0.112389445,0.22157075,0.21663646,0.24071231
11451.0,0.11214612,0.22034273,0.11214612,0.22034273,0.21663646,0.24071231
11452.0,0.11191689,0.21915211,0.11191689,0.21915211,0.21663646,0.24071231
11453.0,0.111700974,0.21799827,0.111700974,0.21799827,0.21663646,0.24071231
11454.0,0.111497596,0.21688055,0.111497596,0.21688055,0.21663646,0.24071231
11455.0,0.11130604,0.21579823,0.11130604,0.21579823,0.21663646,0.24071231
11456.0,0.11112563,0.21475062,0.11112563,0.21475062,0.21663646,0.24071231
11457.0,0.11095573,0.21373697,0.11095573,0.21373697,0.21663646,0.24071231
11458.0,0.11079572,0.21275654,0.11079572,0.21275654,0.21663646,0.24071231
11459.0,0.110645056,0.2118086,0.110645056,0.2118086,0.21663646,0.24071231
11460.0,0.110503174,0.21089236,0.110503174,0.21089236,0.21663646,0.24071231
11461.0,0.11036958,0.21000707,0.11036958,0.21000707,0.21663646,0.24071231
11462.0,0.11024379,0.20915195,0.11024379,0.20915195,0.21663646,0.24071231
11463.0,0.11012535,0.20832622,0.11012535,0.20832622,0.21663646,0.24071231
11464.0,0.11001384,0.20752913,0.11001384,0.20752913,0.21663646,0.24071231
11465.0,0.10990886,0.20675988,0.10990886,0.20675988,0.21663646,0.24071231
11466.0,0.10981002,0.20601772,0.10981002,0.20601772,0.21663646,0.24071231
11467.0,0.10971697,0.2053019,0.10971697,0.2053019,0.21663646,0.24071231
11468.0,0.10962937,0.20461164,0.10962937,0.20461164,0.21663646,0.24071231
11469.0,0.10954691,0.20394622,0.10954691,0.20394622,0.21663646,0.24071231
11470.0,0.10946928,0.2033049,0.10946928,0.2033049,0.21663646,0.24071231
11471.0,0.10939621,0.20268695,0.10939621,0.20268695,0.21663646,0.24071231
11472.0,0.10932742,0.20209166,0.10932742,0.20209166,0.21663646,0.24071231
11473.0,0.109262675,0.20151833,0.109262675,0.20151833,0.21663646,0.24071231
11474.0,0.10920172,0.20096625,0.10920172,0.20096625,0.21663646,0.24071231
